City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Kruisfontein,ZA,2020-04-20 01:37:30,-34.0,24.73,60.62,74,0,5.37
69,Galle,LK,2020-04-20 01:37:30,6.04,80.22,84.02,74,0,9.4
70,Ahipara,NZ,2020-04-20 01:37:30,-35.17,173.17,64.58,90,100,5.86
71,Longyearbyen,SJ,2020-04-20 01:34:53,78.22,15.64,30.2,86,90,33.33
72,Butaritari,KI,2020-04-20 01:37:31,3.07,172.79,83.77,70,26,7.83
73,Atuona,PF,2020-04-20 01:37:31,-9.8,-139.03,82.72,75,45,12.82
74,Tartagal,AR,2020-04-20 01:37:31,-22.52,-63.8,63.1,50,0,3.31
75,Comodoro Rivadavia,AR,2020-04-20 01:32:47,-45.87,-67.5,53.6,50,0,20.8
76,Shellbrook,CA,2020-04-20 01:37:31,53.22,-106.4,46.4,42,90,9.17
77,Hobart,AU,2020-04-20 01:37:32,-42.88,147.33,62.01,71,75,11.41
78,Bredasdorp,ZA,2020-04-20 01:35:54,-34.53,20.04,52.0,93,0,8.05
79,Pisco,PE,2020-04-20 01:36:20,-13.7,-76.22,69.8,77,0,11.41
80,Frankenberg,DE,2020-04-20 01:37:32,51.07,8.8,46.4,42,0,5.82
81,Batsfjord,NO,2020-04-20 01:37:32,70.63,29.72,37.69,79,98,25.66
82,Pevek,RU,2020-04-20 01:35:50,69.7,170.31,12.63,94,100,7.56
83,Fortuna,US,2020-04-20 01:35:25,40.6,-124.16,53.01,87,90,11.41
84,Ribeira Grande,PT,2020-04-20 01:37:33,38.52,-28.7,56.26,58,2,7.27
85,Andros Town,BS,2020-04-20 01:37:33,24.7,-77.77,80.01,78,2,8.05
86,Ancud,CL,2020-04-20 01:37:33,-41.87,-73.82,44.6,93,20,5.79
87,Tandalti,SD,2020-04-20 01:37:33,13.02,31.87,71.69,19,100,6.6
88,Almendralejo,ES,2020-04-20 01:37:34,38.68,-6.41,53.6,81,92,8.05
89,Borskoye,RU,2020-04-20 01:37:34,53.03,51.72,42.53,65,68,2.77
90,Sao Joao Da Barra,BR,2020-04-20 01:35:18,-21.64,-41.05,69.08,84,99,7.09
91,Tiksi,RU,2020-04-20 01:35:47,71.69,128.87,18.86,92,100,6.04
92,Leningradskiy,RU,2020-04-20 01:36:24,69.38,178.42,14.41,93,95,10.16
93,Carnarvon,AU,2020-04-20 01:37:34,-24.87,113.63,75.2,69,53,18.34
94,Asau,RO,2020-04-20 01:37:35,46.43,26.4,46.4,75,90,12.75
95,Chuy,UY,2020-04-20 01:37:35,-33.7,-53.46,64.47,85,0,9.71
96,Mahanje,TZ,2020-04-20 01:37:35,-9.93,35.33,61.3,71,34,1.9
